,Date,PageViews,Rank,Reach
175,2020-06-22,"{'PerMillion': '498', 'PerUser': '4.80'}",109,{'PerMillion': '4400'}
176,2020-06-23,"{'PerMillion': '480', 'PerUser': '4.80'}",113,{'PerMillion': '4100'}
177,2020-06-24,"{'PerMillion': '504', 'PerUser': '4.80'}",110,{'PerMillion': '4300'}
178,2020-06-25,"{'PerMillion': '491', 'PerUser': '4.70'}",109,{'PerMillion': '4300'}
179,2020-06-26,"{'PerMillion': '528', 'PerUser': '4.80'}",107,{'PerMillion': '4400'}
180,2020-06-27,"{'PerMillion': '599', 'PerUser': '4.70'}",103,{'PerMillion': '4600'}
181,2020-06-28,"{'PerMillion': '714', 'PerUser': '5.50'}",96,{'PerMillion': '4700'}
182,2020-06-29,"{'PerMillion': '535', 'PerUser': '5.00'}",101,{'PerMillion': '4500'}
183,2020-06-30,"{'PerMillion': '588', 'PerUser': '4.90'}",91,{'PerMillion': '5000'}
184,2020-07-01,"{'PerMillion': '546', 'PerUser': '4.90'}",102,{'PerMillion': '4700'}
185,2020-07-02,"{'PerMillion': '532', 'PerUser': '5.00'}",103,{'PerMillion': '4400'}
186,2020-07-03,"{'PerMillion': '606', 'PerUser': '5.10'}",97,{'PerMillion': '4600'}
187,2020-07-04,"{'PerMillion': '614', 'PerUser': '5.30'}",109,{'PerMillion': '4200'}
188,2020-07-05,"{'PerMillion': '690', 'PerUser': '4.90'}",87,{'PerMillion': '5100'}
189,2020-07-06,"{'PerMillion': '553', 'PerUser': '4.80'}",100,{'PerMillion': '4900'}
190,2020-07-07,"{'PerMillion': '570', 'PerUser': '5.00'}",96,{'PerMillion': '4900'}
191,2020-07-08,"{'PerMillion': '514', 'PerUser': '5.00'}",108,{'PerMillion': '4400'}
192,2020-07-09,"{'PerMillion': '530', 'PerUser': '5.10'}",110,{'PerMillion': '4400'}
193,2020-07-10,"{'PerMillion': '558', 'PerUser': '5.20'}",102,{'PerMillion': '4400'}
194,2020-07-11,"{'PerMillion': '738', 'PerUser': '5.60'}",101,{'PerMillion': '4800'}
195,2020-07-12,"{'PerMillion': '757', 'PerUser': '5.70'}",87,{'PerMillion': '4800'}
196,2020-07-13,"{'PerMillion': '492', 'PerUser': '4.60'}",104,{'PerMillion': '4600'}
197,2020-07-14,"{'PerMillion': '458', 'PerUser': '4.50'}",119,{'PerMillion': '4300'}
198,2020-07-15,"{'PerMillion': '524', 'PerUser': '4.80'}",100,{'PerMillion': '4600'}
199,2020-07-16,"{'PerMillion': '549', 'PerUser': '5.30'}",110,{'PerMillion': '4300'}
200,2020-07-17,"{'PerMillion': '514', 'PerUser': '4.90'}",109,{'PerMillion': '4400'}
201,2020-07-18,"{'PerMillion': '598', 'PerUser': '4.70'}",97,{'PerMillion': '4700'}
202,2020-07-19,"{'PerMillion': '672', 'PerUser': '5.10'}",96,{'PerMillion': '4800'}
203,2020-07-20,"{'PerMillion': '512', 'PerUser': '4.70'}",105,{'PerMillion': '4700'}
204,2020-07-21,"{'PerMillion': '564', 'PerUser': '4.90'}",97,{'PerMillion': '5000'}
205,2020-07-22,"{'PerMillion': '588', 'PerUser': '4.90'}",93,{'PerMillion': '5100'}
206,2020-07-23,"{'PerMillion': '539', 'PerUser': '5.20'}",111,{'PerMillion': '4400'}
207,2020-07-24,"{'PerMillion': '580', 'PerUser': '5.20'}",108,{'PerMillion': '4600'}
208,2020-07-25,"{'PerMillion': '668', 'PerUser': '5.20'}",99,{'PerMillion': '4700'}
209,2020-07-26,"{'PerMillion': '800', 'PerUser': '5.50'}",84,{'PerMillion': '5300'}
210,2020-07-27,"{'PerMillion': '582', 'PerUser': '5.00'}",91,{'PerMillion': '5100'}
211,2020-07-28,"{'PerMillion': '574', 'PerUser': '5.20'}",97,{'PerMillion': '4800'}
212,2020-07-29,"{'PerMillion': '503', 'PerUser': '4.70'}",98,{'PerMillion': '4700'}
213,2020-07-30,"{'PerMillion': '587', 'PerUser': '5.40'}",97,{'PerMillion': '4800'}
214,2020-07-31,"{'PerMillion': '569', 'PerUser': '5.30'}",102,{'PerMillion': '4400'}
215,2020-08-01,"{'PerMillion': '805', 'PerUser': '5.60'}",84,{'PerMillion': '5200'}
216,2020-08-02,"{'PerMillion': '737', 'PerUser': '5.20'}",89,{'PerMillion': '5100'}
217,2020-08-03,"{'PerMillion': '611', 'PerUser': '4.90'}",88,{'PerMillion': '5300'}
218,2020-08-04,"{'PerMillion': '617', 'PerUser': '5.00'}",89,{'PerMillion': '5200'}
219,2020-08-05,"{'PerMillion': '559', 'PerUser': '4.90'}",98,{'PerMillion': '4800'}
220,2020-08-06,"{'PerMillion': '631', 'PerUser': '5.20'}",91,{'PerMillion': '5100'}
