,Date,PageViews,Rank,Reach
131,2020-05-09,"{'PerMillion': '11', 'PerUser': '3.00'}",4589,{'PerMillion': '130'}
132,2020-05-10,"{'PerMillion': '17', 'PerUser': '2.20'}",2410,{'PerMillion': '270'}
133,2020-05-11,"{'PerMillion': '15', 'PerUser': '2.40'}",2751,{'PerMillion': '240'}
134,2020-05-12,"{'PerMillion': '22', 'PerUser': '2.90'}",2058,{'PerMillion': '300'}
135,2020-05-13,"{'PerMillion': '20', 'PerUser': '2.90'}",2320,{'PerMillion': '270'}
136,2020-05-14,"{'PerMillion': '19', 'PerUser': '3.20'}",2616,{'PerMillion': '230'}
137,2020-05-15,"{'PerMillion': '18', 'PerUser': '2.90'}",2524,{'PerMillion': '240'}
138,2020-05-16,"{'PerMillion': '17', 'PerUser': '2.90'}",3023,{'PerMillion': '210'}
139,2020-05-17,"{'PerMillion': '15', 'PerUser': '2.60'}",3129,{'PerMillion': '210'}
140,2020-05-18,"{'PerMillion': '24', 'PerUser': '3.90'}",2277,{'PerMillion': '250'}
141,2020-05-19,"{'PerMillion': '18', 'PerUser': '3.00'}",2624,{'PerMillion': '230'}
142,2020-05-20,"{'PerMillion': '11', 'PerUser': '3.60'}",4802,{'PerMillion': '130'}
143,2020-05-21,"{'PerMillion': '22', 'PerUser': '3.50'}",2275,{'PerMillion': '250'}
144,2020-05-22,"{'PerMillion': '34', 'PerUser': '4.00'}",1562,{'PerMillion': '350'}
145,2020-05-23,"{'PerMillion': '29', 'PerUser': '4.20'}",2172,{'PerMillion': '250'}
146,2020-05-24,"{'PerMillion': '16', 'PerUser': '2.20'}",3124,{'PerMillion': '200'}
147,2020-05-25,"{'PerMillion': '27', 'PerUser': '3.60'}",1987,{'PerMillion': '290'}
148,2020-05-26,"{'PerMillion': '16', 'PerUser': '3.70'}",3538,{'PerMillion': '170'}
149,2020-05-27,"{'PerMillion': '25', 'PerUser': '3.10'}",1856,{'PerMillion': '320'}
