,Date,PageViews,Rank,Reach
147,2020-05-25,"{'PerMillion': '17', 'PerUser': '8.00'}",6358,{'PerMillion': '81'}
148,2020-05-26,"{'PerMillion': '8.5', 'PerUser': '4.60'}",7944,{'PerMillion': '75'}
149,2020-05-27,"{'PerMillion': '6', 'PerUser': '4.30'}",10542,{'PerMillion': '58'}
150,2020-05-28,"{'PerMillion': '6', 'PerUser': '4.50'}",11267,{'PerMillion': '54'}
151,2020-05-29,"{'PerMillion': '6.2', 'PerUser': '3.50'}",9192,{'PerMillion': '69'}
152,2020-05-30,"{'PerMillion': '8.6', 'PerUser': '4.00'}",7482,{'PerMillion': '79'}
153,2020-05-31,"{'PerMillion': '6.7', 'PerUser': '3.50'}",9311,{'PerMillion': '68'}
154,2020-06-01,"{'PerMillion': '7.7', 'PerUser': '5.70'}",10318,{'PerMillion': '56'}
155,2020-06-02,"{'PerMillion': '6', 'PerUser': '3.60'}",9379,{'PerMillion': '68'}
156,2020-06-03,"{'PerMillion': '8.6', 'PerUser': '4.10'}",7113,{'PerMillion': '84'}
157,2020-06-04,"{'PerMillion': '16', 'PerUser': '8.30'}",6390,{'PerMillion': '78'}
158,2020-06-05,"{'PerMillion': '8.1', 'PerUser': '3.00'}",6692,{'PerMillion': '92'}
159,2020-06-06,"{'PerMillion': '12', 'PerUser': '6.00'}",7052,{'PerMillion': '75'}
160,2020-06-07,"{'PerMillion': '7.4', 'PerUser': '4.40'}",9979,{'PerMillion': '59'}
161,2020-06-08,"{'PerMillion': '10', 'PerUser': '3.90'}",5756,{'PerMillion': '110'}
162,2020-06-09,"{'PerMillion': '8.5', 'PerUser': '4.10'}",7102,{'PerMillion': '85'}
163,2020-06-10,"{'PerMillion': '8.4', 'PerUser': '4.00'}",7091,{'PerMillion': '84'}
164,2020-06-11,"{'PerMillion': '14', 'PerUser': '5.20'}",4836,{'PerMillion': '110'}
165,2020-06-12,"{'PerMillion': '12', 'PerUser': '7.40'}",8247,{'PerMillion': '63'}
166,2020-06-13,"{'PerMillion': '12', 'PerUser': '3.60'}",4876,{'PerMillion': '120'}
167,2020-06-14,"{'PerMillion': '23', 'PerUser': '8.60'}",5012,{'PerMillion': '95'}
168,2020-06-15,"{'PerMillion': '11', 'PerUser': '5.50'}",6906,{'PerMillion': '80'}
169,2020-06-16,"{'PerMillion': '17', 'PerUser': '4.80'}",3687,{'PerMillion': '150'}
170,2020-06-17,"{'PerMillion': '6.7', 'PerUser': '3.90'}",8771,{'PerMillion': '71'}
171,2020-06-18,"{'PerMillion': '1.4', 'PerUser': '4.00'}",57718,{'PerMillion': '10'}
172,2020-06-19,"{'PerMillion': '6.6', 'PerUser': '4.40'}",10037,{'PerMillion': '61'}
173,2020-06-20,"{'PerMillion': '14', 'PerUser': '5.10'}",5472,{'PerMillion': '97'}
174,2020-06-21,"{'PerMillion': '16', 'PerUser': '5.90'}",5331,{'PerMillion': '97'}
175,2020-06-22,"{'PerMillion': '11', 'PerUser': '5.30'}",6475,{'PerMillion': '87'}
176,2020-06-23,"{'PerMillion': '10', 'PerUser': '5.20'}",6656,{'PerMillion': '84'}
177,2020-06-24,"{'PerMillion': '8.4', 'PerUser': '4.10'}",7169,{'PerMillion': '85'}
178,2020-06-25,"{'PerMillion': '8.8', 'PerUser': '4.30'}",7078,{'PerMillion': '85'}
179,2020-06-26,"{'PerMillion': '9.2', 'PerUser': '5.50'}",8372,{'PerMillion': '67'}
180,2020-06-27,"{'PerMillion': '4', 'PerUser': '2.90'}",13889,{'PerMillion': '50'}
181,2020-06-28,"{'PerMillion': '11', 'PerUser': '4.20'}",6231,{'PerMillion': '94'}
182,2020-06-29,"{'PerMillion': '12', 'PerUser': '5.10'}",5764,{'PerMillion': '99'}
183,2020-06-30,"{'PerMillion': '8.7', 'PerUser': '3.70'}",6243,{'PerMillion': '99'}
184,2020-07-01,"{'PerMillion': '18', 'PerUser': '6.60'}",4468,{'PerMillion': '120'}
185,2020-07-02,"{'PerMillion': '10', 'PerUser': '4.70'}",6598,{'PerMillion': '90'}
186,2020-07-03,"{'PerMillion': '8.9', 'PerUser': '5.90'}",9811,{'PerMillion': '59'}
187,2020-07-04,"{'PerMillion': '8.7', 'PerUser': '4.30'}",8241,{'PerMillion': '74'}
188,2020-07-05,"{'PerMillion': '6.3', 'PerUser': '3.40'}",9667,{'PerMillion': '68'}
189,2020-07-06,"{'PerMillion': '8.9', 'PerUser': '3.00'}",5237,{'PerMillion': '100'}
190,2020-07-07,"{'PerMillion': '11', 'PerUser': '3.60'}",5014,{'PerMillion': '130'}
191,2020-07-08,"{'PerMillion': '6', 'PerUser': '4.90'}",12196,{'PerMillion': '52'}
192,2020-07-09,"{'PerMillion': '5.3', 'PerUser': '3.10'}",9613,{'PerMillion': '73'}
193,2020-07-10,"{'PerMillion': '8.8', 'PerUser': '4.00'}",6758,{'PerMillion': '90'}
194,2020-07-11,"{'PerMillion': '5', 'PerUser': '2.30'}",9170,{'PerMillion': '79'}
195,2020-07-12,"{'PerMillion': '10', 'PerUser': '3.60'}",5865,{'PerMillion': '100'}
196,2020-07-13,"{'PerMillion': '5.1', 'PerUser': '3.60'}",11201,{'PerMillion': '61'}
197,2020-07-14,"{'PerMillion': '7', 'PerUser': '3.30'}",7515,{'PerMillion': '89'}
198,2020-07-15,"{'PerMillion': '10', 'PerUser': '4.40'}",6216,{'PerMillion': '98'}
199,2020-07-16,"{'PerMillion': '7', 'PerUser': '3.40'}",7719,{'PerMillion': '86'}
200,2020-07-17,"{'PerMillion': '8.3', 'PerUser': '5.40'}",9512,{'PerMillion': '63'}
201,2020-07-18,"{'PerMillion': '14', 'PerUser': '4.80'}",5253,{'PerMillion': '110'}
202,2020-07-19,"{'PerMillion': '6.4', 'PerUser': '3.30'}",9311,{'PerMillion': '72'}
203,2020-07-20,"{'PerMillion': '8.7', 'PerUser': '5.00'}",8077,{'PerMillion': '76'}
204,2020-07-21,"{'PerMillion': '6', 'PerUser': '3.20'}",8353,{'PerMillion': '82'}
205,2020-07-22,"{'PerMillion': '8.5', 'PerUser': '4.80'}",8095,{'PerMillion': '76'}
206,2020-07-23,"{'PerMillion': '8.7', 'PerUser': '4.50'}",7498,{'PerMillion': '83'}
207,2020-07-24,"{'PerMillion': '7.8', 'PerUser': '3.60'}",7157,{'PerMillion': '90'}
208,2020-07-25,"{'PerMillion': '5.6', 'PerUser': '3.30'}",10519,{'PerMillion': '63'}
