,Date,PageViews,Rank,Reach
173,2020-06-20,"{'PerMillion': '21', 'PerUser': '2.80'}",2241,{'PerMillion': '260'}
174,2020-06-21,"{'PerMillion': '26', 'PerUser': '3.20'}",2028,{'PerMillion': '280'}
175,2020-06-22,"{'PerMillion': '13', 'PerUser': '2.40'}",2805,{'PerMillion': '230'}
176,2020-06-23,"{'PerMillion': '17', 'PerUser': '3.00'}",2607,{'PerMillion': '240'}
177,2020-06-24,"{'PerMillion': '23', 'PerUser': '2.80'}",1822,{'PerMillion': '340'}
178,2020-06-25,"{'PerMillion': '16', 'PerUser': '2.50'}",2450,{'PerMillion': '260'}
179,2020-06-26,"{'PerMillion': '28', 'PerUser': '3.70'}",1877,{'PerMillion': '300'}
180,2020-06-27,"{'PerMillion': '20', 'PerUser': '3.60'}",2777,{'PerMillion': '200'}
181,2020-06-28,"{'PerMillion': '17', 'PerUser': '2.60'}",2679,{'PerMillion': '240'}
182,2020-06-29,"{'PerMillion': '16', 'PerUser': '3.00'}",2724,{'PerMillion': '230'}
183,2020-06-30,"{'PerMillion': '23', 'PerUser': '2.60'}",1726,{'PerMillion': '370'}
184,2020-07-01,"{'PerMillion': '22', 'PerUser': '3.20'}",2049,{'PerMillion': '290'}
185,2020-07-02,"{'PerMillion': '18', 'PerUser': '3.30'}",2775,{'PerMillion': '220'}
186,2020-07-03,"{'PerMillion': '13', 'PerUser': '2.30'}",3143,{'PerMillion': '220'}
187,2020-07-04,"{'PerMillion': '15', 'PerUser': '2.50'}",2924,{'PerMillion': '220'}
188,2020-07-05,"{'PerMillion': '19', 'PerUser': '2.40'}",2269,{'PerMillion': '290'}
189,2020-07-06,"{'PerMillion': '20', 'PerUser': '3.20'}",2334,{'PerMillion': '270'}
190,2020-07-07,"{'PerMillion': '12', 'PerUser': '2.60'}",3355,{'PerMillion': '200'}
191,2020-07-08,"{'PerMillion': '16', 'PerUser': '2.60'}",2515,{'PerMillion': '260'}
192,2020-07-09,"{'PerMillion': '12', 'PerUser': '3.00'}",3825,{'PerMillion': '170'}
193,2020-07-10,"{'PerMillion': '16', 'PerUser': '2.70'}",2664,{'PerMillion': '240'}
194,2020-07-11,"{'PerMillion': '19', 'PerUser': '2.90'}",2533,{'PerMillion': '250'}
195,2020-07-12,"{'PerMillion': '17', 'PerUser': '2.90'}",2890,{'PerMillion': '220'}
196,2020-07-13,"{'PerMillion': '16', 'PerUser': '2.90'}",2636,{'PerMillion': '240'}
197,2020-07-14,"{'PerMillion': '20', 'PerUser': '2.70'}",2092,{'PerMillion': '310'}
198,2020-07-15,"{'PerMillion': '20', 'PerUser': '4.00'}",2819,{'PerMillion': '210'}
199,2020-07-16,"{'PerMillion': '16', 'PerUser': '3.80'}",3262,{'PerMillion': '180'}
200,2020-07-17,"{'PerMillion': '15', 'PerUser': '3.40'}",3341,{'PerMillion': '180'}
201,2020-07-18,"{'PerMillion': '17', 'PerUser': '2.60'}",2676,{'PerMillion': '240'}
202,2020-07-19,"{'PerMillion': '18', 'PerUser': '3.50'}",3105,{'PerMillion': '190'}
203,2020-07-20,"{'PerMillion': '13', 'PerUser': '2.80'}",3297,{'PerMillion': '200'}
204,2020-07-21,"{'PerMillion': '21', 'PerUser': '4.20'}",2629,{'PerMillion': '220'}
205,2020-07-22,"{'PerMillion': '16', 'PerUser': '3.00'}",2729,{'PerMillion': '230'}
206,2020-07-23,"{'PerMillion': '15', 'PerUser': '3.40'}",3257,{'PerMillion': '190'}
207,2020-07-24,"{'PerMillion': '16', 'PerUser': '3.30'}",2992,{'PerMillion': '200'}
208,2020-07-25,"{'PerMillion': '18', 'PerUser': '3.00'}",2655,{'PerMillion': '230'}
209,2020-07-26,"{'PerMillion': '24', 'PerUser': '2.90'}",2022,{'PerMillion': '300'}
210,2020-07-27,"{'PerMillion': '17', 'PerUser': '3.80'}",3088,{'PerMillion': '190'}
211,2020-07-28,"{'PerMillion': '18', 'PerUser': '3.20'}",2521,{'PerMillion': '240'}
212,2020-07-29,"{'PerMillion': '16', 'PerUser': '4.30'}",3676,{'PerMillion': '160'}
213,2020-07-30,"{'PerMillion': '18', 'PerUser': '3.90'}",2945,{'PerMillion': '200'}
214,2020-07-31,"{'PerMillion': '22', 'PerUser': '3.20'}",2064,{'PerMillion': '300'}
215,2020-08-01,"{'PerMillion': '17', 'PerUser': '3.20'}",3115,{'PerMillion': '200'}
216,2020-08-02,"{'PerMillion': '22', 'PerUser': '2.50'}",1987,{'PerMillion': '320'}
217,2020-08-03,"{'PerMillion': '15', 'PerUser': '2.70'}",2829,{'PerMillion': '230'}
218,2020-08-04,"{'PerMillion': '10', 'PerUser': '2.70'}",4066,{'PerMillion': '160'}
219,2020-08-05,"{'PerMillion': '21', 'PerUser': '3.20'}",2230,{'PerMillion': '270'}
220,2020-08-06,"{'PerMillion': '15', 'PerUser': '3.50'}",3311,{'PerMillion': '180'}
221,2020-08-07,"{'PerMillion': '18', 'PerUser': '3.40'}",2788,{'PerMillion': '220'}
222,2020-08-08,"{'PerMillion': '17', 'PerUser': '2.70'}",2719,{'PerMillion': '220'}
223,2020-08-09,"{'PerMillion': '20', 'PerUser': '2.80'}",2434,{'PerMillion': '250'}
224,2020-08-10,"{'PerMillion': '18', 'PerUser': '3.20'}",2614,{'PerMillion': '230'}
225,2020-08-11,"{'PerMillion': '19', 'PerUser': '2.80'}",2169,{'PerMillion': '280'}
226,2020-08-12,"{'PerMillion': '24', 'PerUser': '3.80'}",2168,{'PerMillion': '260'}
227,2020-08-13,"{'PerMillion': '14', 'PerUser': '3.30'}",3513,{'PerMillion': '170'}
228,2020-08-14,"{'PerMillion': '17', 'PerUser': '3.60'}",3175,{'PerMillion': '180'}
229,2020-08-15,"{'PerMillion': '33', 'PerUser': '3.90'}",1782,{'PerMillion': '290'}
230,2020-08-16,"{'PerMillion': '14', 'PerUser': '2.80'}",3280,{'PerMillion': '180'}
231,2020-08-17,"{'PerMillion': '13', 'PerUser': '3.10'}",3482,{'PerMillion': '180'}
232,2020-08-18,"{'PerMillion': '17', 'PerUser': '3.00'}",2585,{'PerMillion': '240'}
233,2020-08-19,"{'PerMillion': '19', 'PerUser': '3.30'}",2496,{'PerMillion': '230'}
234,2020-08-20,"{'PerMillion': '16', 'PerUser': '3.10'}",2796,{'PerMillion': '220'}
235,2020-08-21,"{'PerMillion': '25', 'PerUser': '3.90'}",2180,{'PerMillion': '240'}
236,2020-08-22,"{'PerMillion': '12', 'PerUser': '3.00'}",4246,{'PerMillion': '140'}
237,2020-08-23,"{'PerMillion': '22', 'PerUser': '2.70'}",2122,{'PerMillion': '270'}
238,2020-08-24,"{'PerMillion': '11', 'PerUser': '3.30'}",4374,{'PerMillion': '140'}
239,2020-08-25,"{'PerMillion': '16', 'PerUser': '3.30'}",2938,{'PerMillion': '200'}
240,2020-08-26,"{'PerMillion': '21', 'PerUser': '3.40'}",2287,{'PerMillion': '250'}
241,2020-08-27,"{'PerMillion': '15', 'PerUser': '2.80'}",2872,{'PerMillion': '220'}
242,2020-08-28,"{'PerMillion': '17', 'PerUser': '3.10'}",2649,{'PerMillion': '220'}
243,2020-08-29,"{'PerMillion': '14', 'PerUser': '2.50'}",3218,{'PerMillion': '190'}
244,2020-08-30,"{'PerMillion': '25', 'PerUser': '3.80'}",2319,{'PerMillion': '240'}
245,2020-08-31,"{'PerMillion': '19', 'PerUser': '3.50'}",2556,{'PerMillion': '230'}
246,2020-09-01,"{'PerMillion': '23', 'PerUser': '3.80'}",2205,{'PerMillion': '260'}
247,2020-09-02,"{'PerMillion': '15', 'PerUser': '3.20'}",3014,{'PerMillion': '200'}
248,2020-09-03,"{'PerMillion': '22', 'PerUser': '3.40'}",2178,{'PerMillion': '260'}
249,2020-09-04,"{'PerMillion': '21', 'PerUser': '3.90'}",2522,{'PerMillion': '220'}
250,2020-09-05,"{'PerMillion': '28', 'PerUser': '3.90'}",2036,{'PerMillion': '260'}
251,2020-09-06,"{'PerMillion': '22', 'PerUser': '3.40'}",2399,{'PerMillion': '240'}
252,2020-09-07,"{'PerMillion': '17', 'PerUser': '2.70'}",2498,{'PerMillion': '250'}
253,2020-09-08,"{'PerMillion': '23', 'PerUser': '3.60'}",2159,{'PerMillion': '270'}
254,2020-09-09,"{'PerMillion': '15', 'PerUser': '3.30'}",3157,{'PerMillion': '190'}
255,2020-09-10,"{'PerMillion': '11', 'PerUser': '2.70'}",3800,{'PerMillion': '170'}
256,2020-09-11,"{'PerMillion': '14', 'PerUser': '3.00'}",3167,{'PerMillion': '190'}
257,2020-09-12,"{'PerMillion': '27', 'PerUser': '3.70'}",2012,{'PerMillion': '270'}
258,2020-09-13,"{'PerMillion': '14', 'PerUser': '3.20'}",3856,{'PerMillion': '150'}
259,2020-09-14,"{'PerMillion': '10', 'PerUser': '2.90'}",4351,{'PerMillion': '150'}
260,2020-09-15,"{'PerMillion': '12', 'PerUser': '2.70'}",3300,{'PerMillion': '200'}
261,2020-09-16,"{'PerMillion': '14', 'PerUser': '3.10'}",3225,{'PerMillion': '190'}
262,2020-09-17,"{'PerMillion': '19', 'PerUser': '3.50'}",2569,{'PerMillion': '230'}
263,2020-09-18,"{'PerMillion': '17', 'PerUser': '2.90'}",2505,{'PerMillion': '240'}
264,2020-09-19,"{'PerMillion': '20', 'PerUser': '3.00'}",2393,{'PerMillion': '240'}
265,2020-09-20,"{'PerMillion': '20', 'PerUser': '3.10'}",2531,{'PerMillion': '230'}
266,2020-09-21,"{'PerMillion': '14', 'PerUser': '2.80'}",2915,{'PerMillion': '210'}
267,2020-09-22,"{'PerMillion': '13', 'PerUser': '3.30'}",3878,{'PerMillion': '160'}
268,2020-09-23,"{'PerMillion': '33', 'PerUser': '4.00'}",1659,{'PerMillion': '320'}
269,2020-09-24,"{'PerMillion': '14', 'PerUser': '2.80'}",3032,{'PerMillion': '210'}
270,2020-09-25,"{'PerMillion': '19', 'PerUser': '3.80'}",2653,{'PerMillion': '210'}
