,Date,PageViews,Rank,Reach
114,2020-04-22,"{'PerMillion': '26', 'PerUser': '3.90'}",2242,{'PerMillion': '260'}
115,2020-04-23,"{'PerMillion': '15', 'PerUser': '2.70'}",3014,{'PerMillion': '210'}
116,2020-04-24,"{'PerMillion': '13', 'PerUser': '2.80'}",3615,{'PerMillion': '180'}
117,2020-04-25,"{'PerMillion': '17', 'PerUser': '2.70'}",2819,{'PerMillion': '220'}
118,2020-04-26,"{'PerMillion': '18', 'PerUser': '2.70'}",2774,{'PerMillion': '230'}
119,2020-04-27,"{'PerMillion': '15', 'PerUser': '2.70'}",3048,{'PerMillion': '210'}
120,2020-04-28,"{'PerMillion': '18', 'PerUser': '2.90'}",2508,{'PerMillion': '250'}
121,2020-04-29,"{'PerMillion': '15', 'PerUser': '2.60'}",2928,{'PerMillion': '220'}
122,2020-04-30,"{'PerMillion': '22', 'PerUser': '2.90'}",2066,{'PerMillion': '290'}
123,2020-05-01,"{'PerMillion': '13', 'PerUser': '3.00'}",4012,{'PerMillion': '150'}
124,2020-05-02,"{'PerMillion': '16', 'PerUser': '2.10'}",2496,{'PerMillion': '270'}
125,2020-05-03,"{'PerMillion': '13', 'PerUser': '2.60'}",3599,{'PerMillion': '180'}
126,2020-05-04,"{'PerMillion': '17', 'PerUser': '2.60'}",2440,{'PerMillion': '260'}
127,2020-05-05,"{'PerMillion': '22', 'PerUser': '2.70'}",1974,{'PerMillion': '320'}
128,2020-05-06,"{'PerMillion': '22', 'PerUser': '2.80'}",1895,{'PerMillion': '320'}
129,2020-05-07,"{'PerMillion': '30', 'PerUser': '3.20'}",1546,{'PerMillion': '370'}
130,2020-05-08,"{'PerMillion': '14', 'PerUser': '2.40'}",3093,{'PerMillion': '210'}
131,2020-05-09,"{'PerMillion': '31', 'PerUser': '3.10'}",1629,{'PerMillion': '350'}
132,2020-05-10,"{'PerMillion': '17', 'PerUser': '2.60'}",2806,{'PerMillion': '230'}
133,2020-05-11,"{'PerMillion': '26', 'PerUser': '3.10'}",1804,{'PerMillion': '340'}
134,2020-05-12,"{'PerMillion': '24', 'PerUser': '3.10'}",1988,{'PerMillion': '300'}
135,2020-05-13,"{'PerMillion': '17', 'PerUser': '3.10'}",2836,{'PerMillion': '220'}
136,2020-05-14,"{'PerMillion': '28', 'PerUser': '3.30'}",1706,{'PerMillion': '340'}
137,2020-05-15,"{'PerMillion': '25', 'PerUser': '3.30'}",2039,{'PerMillion': '280'}
138,2020-05-16,"{'PerMillion': '22', 'PerUser': '2.80'}",2211,{'PerMillion': '280'}
139,2020-05-17,"{'PerMillion': '26', 'PerUser': '3.00'}",1923,{'PerMillion': '310'}
140,2020-05-18,"{'PerMillion': '24', 'PerUser': '3.00'}",1819,{'PerMillion': '330'}
141,2020-05-19,"{'PerMillion': '16', 'PerUser': '2.90'}",2833,{'PerMillion': '220'}
142,2020-05-20,"{'PerMillion': '30', 'PerUser': '3.00'}",1498,{'PerMillion': '400'}
143,2020-05-21,"{'PerMillion': '16', 'PerUser': '3.20'}",3053,{'PerMillion': '200'}
144,2020-05-22,"{'PerMillion': '20', 'PerUser': '3.30'}",2398,{'PerMillion': '250'}
145,2020-05-23,"{'PerMillion': '42', 'PerUser': '3.80'}",1364,{'PerMillion': '390'}
146,2020-05-24,"{'PerMillion': '30', 'PerUser': '3.10'}",2024,{'PerMillion': '270'}
147,2020-05-25,"{'PerMillion': '35', 'PerUser': '2.80'}",1251,{'PerMillion': '480'}
148,2020-05-26,"{'PerMillion': '29', 'PerUser': '2.60'}",1438,{'PerMillion': '440'}
149,2020-05-27,"{'PerMillion': '17', 'PerUser': '3.10'}",2791,{'PerMillion': '220'}
150,2020-05-28,"{'PerMillion': '30', 'PerUser': '2.80'}",1420,{'PerMillion': '430'}
151,2020-05-29,"{'PerMillion': '17', 'PerUser': '3.00'}",2834,{'PerMillion': '220'}
152,2020-05-30,"{'PerMillion': '33', 'PerUser': '2.70'}",1368,{'PerMillion': '440'}
153,2020-05-31,"{'PerMillion': '33', 'PerUser': '3.40'}",1641,{'PerMillion': '340'}
154,2020-06-01,"{'PerMillion': '35', 'PerUser': '3.10'}",1276,{'PerMillion': '470'}
155,2020-06-02,"{'PerMillion': '31', 'PerUser': '2.90'}",1347,{'PerMillion': '440'}
156,2020-06-03,"{'PerMillion': '33', 'PerUser': '3.50'}",1526,{'PerMillion': '380'}
157,2020-06-04,"{'PerMillion': '41', 'PerUser': '3.00'}",1015,{'PerMillion': '570'}
158,2020-06-05,"{'PerMillion': '40', 'PerUser': '3.30'}",1153,{'PerMillion': '490'}
159,2020-06-06,"{'PerMillion': '45', 'PerUser': '3.30'}",1117,{'PerMillion': '500'}
160,2020-06-07,"{'PerMillion': '44', 'PerUser': '3.00'}",1086,{'PerMillion': '510'}
161,2020-06-08,"{'PerMillion': '34', 'PerUser': '3.10'}",1298,{'PerMillion': '460'}
162,2020-06-09,"{'PerMillion': '51', 'PerUser': '3.60'}",924,{'PerMillion': '580'}
163,2020-06-10,"{'PerMillion': '46', 'PerUser': '3.30'}",971,{'PerMillion': '560'}
164,2020-06-11,"{'PerMillion': '51', 'PerUser': '3.40'}",888,{'PerMillion': '610'}
165,2020-06-12,"{'PerMillion': '44', 'PerUser': '3.50'}",1101,{'PerMillion': '510'}
166,2020-06-13,"{'PerMillion': '41', 'PerUser': '2.80'}",1084,{'PerMillion': '520'}
167,2020-06-14,"{'PerMillion': '43', 'PerUser': '3.40'}",1218,{'PerMillion': '450'}
168,2020-06-15,"{'PerMillion': '48', 'PerUser': '3.20'}",899,{'PerMillion': '620'}
169,2020-06-16,"{'PerMillion': '39', 'PerUser': '3.10'}",1115,{'PerMillion': '530'}
170,2020-06-17,"{'PerMillion': '50', 'PerUser': '3.30'}",888,{'PerMillion': '620'}
171,2020-06-18,"{'PerMillion': '39', 'PerUser': '3.60'}",1237,{'PerMillion': '450'}
172,2020-06-19,"{'PerMillion': '56', 'PerUser': '3.40'}",776,{'PerMillion': '670'}
173,2020-06-20,"{'PerMillion': '33', 'PerUser': '2.90'}",1465,{'PerMillion': '400'}
174,2020-06-21,"{'PerMillion': '42', 'PerUser': '3.20'}",1207,{'PerMillion': '460'}
175,2020-06-22,"{'PerMillion': '48', 'PerUser': '3.40'}",930,{'PerMillion': '590'}
176,2020-06-23,"{'PerMillion': '28', 'PerUser': '3.30'}",1632,{'PerMillion': '360'}
177,2020-06-24,"{'PerMillion': '44', 'PerUser': '2.80'}",878,{'PerMillion': '650'}
178,2020-06-25,"{'PerMillion': '33', 'PerUser': '3.30'}",1372,{'PerMillion': '410'}
179,2020-06-26,"{'PerMillion': '37', 'PerUser': '3.00'}",1211,{'PerMillion': '490'}
180,2020-06-27,"{'PerMillion': '43', 'PerUser': '2.80'}",1045,{'PerMillion': '560'}
181,2020-06-28,"{'PerMillion': '45', 'PerUser': '2.80'}",939,{'PerMillion': '590'}
182,2020-06-29,"{'PerMillion': '36', 'PerUser': '3.10'}",1157,{'PerMillion': '500'}
183,2020-06-30,"{'PerMillion': '41', 'PerUser': '3.10'}",1056,{'PerMillion': '560'}
184,2020-07-01,"{'PerMillion': '37', 'PerUser': '3.30'}",1192,{'PerMillion': '480'}
185,2020-07-02,"{'PerMillion': '32', 'PerUser': '2.80'}",1330,{'PerMillion': '470'}
186,2020-07-03,"{'PerMillion': '34', 'PerUser': '2.60'}",1210,{'PerMillion': '510'}
187,2020-07-04,"{'PerMillion': '49', 'PerUser': '2.80'}",911,{'PerMillion': '630'}
188,2020-07-05,"{'PerMillion': '23', 'PerUser': '2.30'}",1835,{'PerMillion': '360'}
189,2020-07-06,"{'PerMillion': '21', 'PerUser': '2.80'}",2064,{'PerMillion': '320'}
190,2020-07-07,"{'PerMillion': '35', 'PerUser': '3.00'}",1209,{'PerMillion': '500'}
191,2020-07-08,"{'PerMillion': '39', 'PerUser': '2.90'}",1067,{'PerMillion': '570'}
192,2020-07-09,"{'PerMillion': '43', 'PerUser': '3.30'}",1041,{'PerMillion': '550'}
193,2020-07-10,"{'PerMillion': '43', 'PerUser': '3.40'}",1059,{'PerMillion': '520'}
194,2020-07-11,"{'PerMillion': '38', 'PerUser': '2.80'}",1169,{'PerMillion': '500'}
195,2020-07-12,"{'PerMillion': '33', 'PerUser': '2.70'}",1346,{'PerMillion': '450'}
196,2020-07-13,"{'PerMillion': '15', 'PerUser': '2.80'}",2894,{'PerMillion': '220'}
197,2020-07-14,"{'PerMillion': '37', 'PerUser': '2.70'}",1047,{'PerMillion': '590'}
198,2020-07-15,"{'PerMillion': '34', 'PerUser': '3.00'}",1279,{'PerMillion': '480'}
199,2020-07-16,"{'PerMillion': '30', 'PerUser': '2.80'}",1332,{'PerMillion': '460'}
200,2020-07-17,"{'PerMillion': '37', 'PerUser': '2.90'}",1142,{'PerMillion': '520'}
